type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:FB2D64D9;ncit:C158277;"""Gender identity""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
standard;hrim:0BAE797E;ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:Woman;"""Woman""@en";;;
standard;hrim:8A6B879C;ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en";;;
standard;hrim:D0030061;ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleGender;"""Female Gender""@en";;;
standard;hrim:D6A55786;ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:Female;"""Female""@en";;;
standard;hrim:20C61A73;ncit:C17998;"""Gender Identity = Unknown""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
standard;hrim:36F36C72;ncit:C17998;"""Sex = Unknown""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:7CE3271C;ncit:C17998;"""Sex = Unknown""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:841E4586;ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en";;;
standard;hrim:FAE52A5D;ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:LegallyUnassignedGenderPerson;"""Legally Unassigned Gender Person""@en";;;
standard;hrim:1209BC2A;ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:Male;"""Male""@en";;;
standard;hrim:38E3E6B8;ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:MaleSex;"""Male Sex""@en";;;
standard;hrim:70C2BF1B;ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:MaleGender;"""Male Gender""@en";;;
standard;hrim:8A8D6075;ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:Man;"""Man""@en";;;
standard;hrim:F75FEF86;ncit:C205468;"""Non-Binary""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en";;;
standard;hrim:EFED761C;ncit:C205472;"""Sex at birth (including Sex Assigned at Birth / Sex Reported at Birth)""@en";hriv:hasExactMeaning;;hrio:SexAtBirth;"""Sex at Birth""@en";;;
standard;hrim:67B26CF8;ncit:C45908;"""Intersex""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en";;;
standard;hrim:B35F39C3;ncit:C45908;"""Intersex""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:C71CCB34;ncit:C45908;"""Intersex""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:5C1732B3;ncit:C46121;"""Transgender Man/Boy""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedTransgenderPerson;"""Self-identified Transgender Person""@en";;;
standard;hrim:FA51714B;ncit:C46121;"""Transgender Man/Boy""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedMaleGenderPerson;"""Self-identified Male-gender Person""@en";;;
standard;hrim:67F3026E;ncit:C66731;"""Sex codelist""@en";hriv:hasExactMeaning;Not;hrio:SexOutcome;"""Sex Outcome""@en";;;
standard;hrim:F165A084;ncit:C66731;"""Sex codelist""@en";hriv:hasExactMeaning;Not;hrio:SexGenderOutcome;"""Sex-Gender Outcome""@en";;;
standard;hrim:DC416BAD;obo:GSSO_000088;"""gender expression""@en";hriv:hasExactMeaning;Not;hrio:GenderExpression;"""Gender Expression""@en";;;
standard;hrim:049D2B85;obo:GSSO_000089;"""female gender identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedFemaleGender;"""Self-identified Female Gender""@en";;;
standard;hrim:41DC1633;obo:GSSO_000093;"""androgynous gender expression""@en";hriv:hasExactMeaning;Not;hrio:NonBinaryGenderExpression;"""Non-binary Gender Expression""@en";;;
standard;hrim:9EB5302C;obo:GSSO_000094;"""feminine gender expression""@en";hriv:hasExactMeaning;Not;hrio:FemininePresentingPerson;"""Feminine-presenting Person""@en";;;
standard;hrim:B2F804F1;obo:GSSO_000094;"""feminine gender expression""@en";hriv:hasExactMeaning;Not;hrio:FeminineGenderExpression;"""Feminine Gender Expression""@en";;;
standard;hrim:F2B6EC0D;obo:GSSO_000123;"""assigned female at birth""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthFemaleSex;"""Sex-at-birth Female Sex""@en";;;
standard;hrim:1516D90F;obo:GSSO_000130;"""transgender person""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en";;;
standard;hrim:C0A8AF6F;obo:GSSO_000130;"""transgender person""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedTransgenderPerson;"""Externally-attributed Transgender Person""@en";;;
standard;hrim:32016AE7;obo:GSSO_000371;"""cisgender man""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedCisgenderMalePerson;"""Externally-attributed Cisgender Male Person""@en";;;
standard;hrim:3279D3BB;obo:GSSO_000371;"""cisgender man""@en";hriv:hasExactMeaning;Not;hrio:MaleCisgenderPerson;"""Male Cisgender Person""@en";;;
standard;hrim:84CCDF8D;obo:GSSO_000371;"""cisgender man""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedCisgenderMalePerson;"""Self-identified Cisgender Male Person""@en";;;
standard;hrim:26DDC5AF;obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en";;;
standard;hrim:38BC456A;obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:Woman;"""Woman""@en";;;
standard;hrim:A8A694C7;obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthMaleSexPerson;"""Sex-at-birth Male-sex Person""@en";;;
standard;hrim:CACF23D3;obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:FemaleGenderPerson;"""Female-gender Person""@en";;;
standard;hrim:1CD108E2;obo:GSSO_000385;"""cisgender woman""@en";hriv:hasExactMeaning;Not;hrio:FemaleCisgenderPerson;"""Female Cisgender Person""@en";;;
standard;hrim:1DD6F6A8;obo:GSSO_000385;"""cisgender woman""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedCisgenderFemalePerson;"""Self-identified Cisgender Female Person""@en";;;
